"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"PEMERINTAH KABUPATEN MALANG";"135,65";"483,51000000000005";"128,36";"148,36";"612,2";"Helvetica";"20,0";"309,58000000000004";"306,1";"0,005684416857236227";"0,22157791571381902";"0,5682130022868344";"True";"BODY_TEXT";""
"1";"PERATURAN DAERAH KABUPATEN MALANG";"173,65";"437,7939999999999";"178,13400000000001";"190,13400000000001";"612,2";"Helvetica-Bold";"12,0";"305,722";"306,1";"0,0006174452793205532";"0,28364913426984645";"0,4314668409016659";"True";"JUDUL";""
"1";"NOMOR 2 TAHUN 2009";"223,68";"388,40200000000004";"195,33400000000006";"207,33400000000006";"612,2";"Helvetica-Bold";"12,0";"306,04100000000005";"306,1";"9,637373407378156e-05";"0,36537079385821625";"0,2690656648154198";"True";"JUDUL";""
"1";"TENTANG";"277,08";"334,788";"212,33400000000006";"224,33400000000006";"612,2";"Helvetica-Bold";"12,0";"305,93399999999997";"306,1";"0,00027115321790273383";"0,45259719046063374";"0,09426331264292719";"True";"JUDUL";""
"1";"PENYELENGGARAAN ADMINISTRASI KEPENDUDUKAN";"141,85";"470,352";"229,534";"241,534";"612,2";"Helvetica-Bold";"12,0";"306,101";"306,1";"1,633453119856833e-06";"0,23170532505717084";"0,536592616791898";"True";"JUDUL";""
"1";"DENGAN RAHMAT TUHAN YANG MAHA ESA";"177,05";"434,9179999999999";"263,93399999999997";"275,93399999999997";"612,2";"Helvetica-Bold";"12,0";"305,9839999999999";"306,1";"0,00018948056190803517";"0,289202874877491";"0,421215289121202";"True";"PEMBUKAAN";"FRASA RELIGIUS"
"1";"BUPATI MALANG,";"254,08";"357,72400000000005";"298,154";"310,154";"612,2";"Helvetica-Bold";"12,0";"305,90200000000004";"306,1";"0,0003234237177392667";"0,4150277687030382";"0,169297615158445";"True";"PEMBUKAAN";"PEMBENTUK PPU"
"1";"Menimbang : a. bahwa dalam rangka tertib administrasi pendaftaran penduduk dan";"70,825";"541,0699999999999";"332,754";"344,754";"612,2";"Helvetica";"12,0";"305,9475";"306,1";"0,00024910160078410947";"0,11568931721659588";"0,7681231623652399";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"pencatatan sipil di wilayah Kabupaten Malang, perlu dilakukan";"178,85";"541,0239999999999";"348,95400000000006";"360,95400000000006";"612,2";"Helvetica";"12,0";"359,93699999999995";"306,1";"0,08794021561581171";"0,29214309049330284";"0,5915942502450177";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"penataan penyelenggaraan dan penertiban dokumen";"178,85";"541,0160000000001";"364,95400000000006";"376,95400000000006";"612,2";"Helvetica";"12,0";"359,93300000000005";"306,1";"0,08793368180333228";"0,29214309049330284";"0,5915811826200589";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"kependudukan secara terpadu, terarah, terkoordinasi dan";"178,85";"540,8900000000002";"381,154";"393,154";"612,2";"Helvetica";"12,0";"359,8700000000001";"306,1";"0,08783077425677897";"0,29214309049330284";"0,5913753675269522";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"berkesinambungan;";"178,85";"284,036";"397,35400000000004";"409,35400000000004";"612,2";"Helvetica";"12,0";"231,44299999999998";"306,1";"0,12194870957203534";"0,29214309049330284";"0,17181639986932376";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"b. bahwa peraturan pelaksanaan di bidang administrasi";"160,85";"541,17";"414,554";"426,554";"612,2";"Helvetica";"12,0";"351,01";"306,1";"0,073358379614505";"0,26274093433518453";"0,6212348905586408";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"kependudukan pada saat ini dipandang perlu disesuaikan dengan";"178,85";"541,206";"430,58399999999995";"442,58399999999995";"612,2";"Helvetica";"12,0";"360,028";"306,1";"0,0880888598497223";"0,29214309049330284";"0,5918915387128388";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"perkembangan keadaan dan tuntutan masyarakat;";"178,85";"447,086";"446,78399999999993";"458,78399999999993";"612,2";"Helvetica";"12,0";"312,968";"306,1";"0,011218556027442003";"0,29214309049330284";"0,4381509310682783";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"c. bahwa berdasarkan pertimbangan tersebut pada huruf a dan b";"160,85";"540,9040000000002";"463,984";"475,984";"612,2";"Helvetica";"12,0";"350,8770000000001";"306,1";"0,07314113034955913";"0,26274093433518453";"0,620800392028749";"False";"PEMBUKAAN";"KONSIDERANS"
