"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"SALINAN";"416,52";"512,7975";"104,5575";"127,0575";"611,28";"Helvetica";"22,5";"464,65875";"305,64";"0,2601406065959953";"0,6813898704358068";"0,1575014723203769";"True";"JUDUL";"SIFAT BERKAS"
"1";"PRESIDEN";"274,68";"335,352";"158,96400000000006";"170,96400000000006";"611,28";"Helvetica";"12,0";"305,016";"305,64";"0,0010208087946604";"0,4493521790341578";"0,0992540243423635";"True";"JUDUL";"JABATAN PEMBENTUK"
"1";"REPUBLIK INDONESIA";"238,68";"371,292";"171,34749999999997";"183,8475";"611,28";"Helvetica";"12,5";"304,986";"305,64";"0,0010698861405575";"0,3904593639575972";"0,2169414998036906";"True";"JUDUL";"WILAYAH YURISDIKSI"
"1";"UNDANG-UNDANG REPUBLIK INDONESIA";"171,72";"425,8825";"228,0474999999999";"240,9074999999999";"611,28";"Helvetica";"12,5";"298,80125";"305,64";"0,0111875899751341";"0,2809187279151943";"0,415787364219343";"True";"JUDUL";"JENIS PERATURAN"
"1";"NOMOR 1 TAHUN 2023";"216,36";"386,784";"251,69549999999992";"268,83899999999994";"611,28";"Helvetica";"15,5";"301,572";"305,64";"0,0066548881036513";"0,3539458186101296";"0,2787985865724381";"True";"JUDUL";"NOMOR DAN TAHUN"
"1";"TENTANG";"270,54";"327,87600000000003";"282,264";"294,264";"611,28";"Helvetica";"12,0";"299,208";"305,64";"0,0105221829603454";"0,4425795053003534";"0,0937966234786023";"True";"JUDUL";"KATA PENGHUBUNG"
"1";"KITAB UNDANG-UNDANG HUKUM PIDANA";"170,82";"427,53600000000006";"307,571";"321,29100000000005";"611,28";"Helvetica";"13,0";"299,178";"305,64";"0,0105712603062426";"0,2794464075382803";"0,4199646643109542";"True";"JUDUL";"NAMA PERATURAN"
"1";"DENGAN RAHMAT TUHAN YANG MAHA ESA";"167,4";"433,332";"359,62749999999994";"372,564";"611,28";"Helvetica";"12,5";"300,366";"305,64";"0,0086277974087161";"0,273851590106007";"0,4350412249705536";"True";"PEMBUKAAN";"FRASA RELIGIUS"
"1";"PRESIDEN REPUBLIK INDONESIA,";"196,56";"403,7975";"397,6075";"410,4675";"611,28";"Helvetica";"12,5";"300,17875000000004";"305,64";"0,0089341218426906";"0,3215547703180212";"0,3390222156785761";"True";"PEMBUKAAN";"JABATAN PEMBENTUK"
"1";"Menimbang : a. bahwa untuk mewujudkan hukum pidana nasional";"71,28";"529,890";"447,4285";"463,005";"611,28";"Helvetica";"12,5";"299,426";"305,64";"0,0101655542468263";"0,1166077738515901";"0,7464533438031672";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Negara Kesatuan Republik Indonesia yang";"207,54";"529,890";"459,8825";"477,999";"611,28";"Helvetica";"17,5";"351,676";"305,64";"0,0753108231906818";"0,3395170789163722";"0,4715874885486193";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"berdasarkan Pancasila dan Undang-Undang Dasar";"207,54";"529,890";"475,832";"491,832";"611,28";"Helvetica";"14,0";"367,93875";"305,64";"0,1019152434236356";"0,3395170789163722";"0,5247963290145269";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Negara Republik Indonesia Tahun 1945 serta asas";"207,72";"529,890";"491,025";"506,2815";"611,28";"Helvetica";"13,500000000000057";"368,172";"305,64";"0,1022968197879859";"0,339811542991755";"0,5249705535924617";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"hukum umum yang diakui masyarakat bangsa-";"207,54";"529,890";"503,8755";"520,7355";"611,28";"Helvetica";"16,5";"367,91125";"305,64";"0,1018702558565633";"0,3395170789163722";"0,5247063538803822";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"bangsa, perlu disusun hukum pidana nasional untuk";"207,72";"529,890";"520,1145";"534,9014999999999";"611,28";"Helvetica";"13,0";"368,2835";"305,64";"0,1024792239235702";"0,339811542991755";"0,5253353618636304";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"mengganti Kitab Undang-Undang Hukum Pidana";"207,72";"529,890";"532,6755";"549,7155";"611,28";"Helvetica";"14,5";"368,29625";"305,64";"0,1025000817955766";"0,339811542991755";"0,5253770776076431";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"warisan pemerintah kolonial Hindia Belanda;";"207,36";"472,87750000000005";"548,7345";"562,9545";"611,28";"Helvetica";"13,5";"340,11875000000003";"305,64";"0,0564041846616935";"0,3392226148409894";"0,4343631396414082";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"b. bahwa hukum pidana nasional tersebut harus";"177,3";"529,890";"566,8755";"584,352";"611,28";"Helvetica";"12,0";"352,9465";"305,64";"0,0773892487894255";"0,2900471142520612";"0,5746842690747284";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"disesuaikan dengan politik hukum, keadaan, dan";"208,44";"529,890";"581,852";"598,4685";"611,28";"Helvetica";"14,0";"368,862";"305,64";"0,1034255987436199";"0,3409893992932862";"0,5248723989006675";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"perkembangan kehidupan bermasyarakat, berbangsa,";"208,44";"529,890";"598,0545";"612,0674999999999";"611,28";"Helvetica";"13,0";"368,1387500000001";"305,64";"0,1022424257296166";"0,3409893992932862";"0,5225060528726608";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"dan bernegara yang bertujuan menghormati dan";"208,44";"529,890";"609,319";"626,5709999999999";"611,28";"Helvetica";"17,0";"369,0419999999999";"305,64";"0,1037200628190026";"0,3409893992932862";"0,5254613270514329";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"menjunjung tinggi hak asasi manusia, berdasarkan";"208,8";"529,890";"625,665";"640,818";"611,28";"Helvetica";"14,0";"368,587";"305,64";"0,1029757230728962";"0,3415783274440518";"0,5227947912576887";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Ketuhanan Yang Maha Esa, kemanusiaan yang adil";"208,8";"529,890";"640,498";"655,4745";"611,28";"Helvetica";"14,0";"369,243";"305,64";"0,1040488810365134";"0,3415783274440518";"0,5249411071849233";"False";"PEMBUKAAN";"KONSIDERANS"
