"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"BUPATI MALANG";"253,08";"358,62";"121,29600000000005";"133,29600000000005";"612,2";"AWKBDA+BookmanOldStyle-Bold";"12,0";"305,85";"306,1";"0,0004083632799738647";"0,41339431558314277";"0,17239464227376672";"True";"JUDUL";""
"1";"PROVINSI JAWA TIMUR";"231,48";"380,376";"142,29600000000005";"154,29600000000005";"612,2";"AWKBDA+BookmanOldStyle-Bold";"12,0";"305,928";"306,1";"0,00028095393662206053";"0,37811172819340083";"0,24321463573995422";"True";"JUDUL";""
"1";"PERATURAN BUPATI MALANG";"211,67";"399,95000000000005";"184,32600000000014";"196,32600000000014";"612,2";"AWKBDA+BookmanOldStyle-Bold";"12,0";"305,81";"306,1";"0,0004737014047697165";"0,3457530218882718";"0,30754655341391707";"True";"JUDUL";""
"1";"NOMOR 10 TAHUN 2025";"229,48";"382,65000000000003";"205,32600000000014";"217,32600000000014";"612,2";"AWKBDA+BookmanOldStyle-Bold";"12,0";"306,065";"306,1";"5,717085919638192e-05";"0,3748448219536099";"0,2501960143743875";"True";"JUDUL";""
"1";"TENTANG";"275,5";"336,46000000000004";"226,32600000000014";"238,32600000000014";"612,2";"AWKBDA+BookmanOldStyle-Bold";"12,0";"305,98";"306,1";"0,0001960143743874625";"0,45001633453119894";"0,09957530218882724";"True";"JUDUL";""
"1";"STANDAR HARGA SATUAN TAHUN ANGGARAN 2026";"142,45";"469,47";"247,32600000000014";"259,32600000000014";"612,2";"AWKBDA+BookmanOldStyle-Bold";"12,0";"305,96000000000004";"306,1";"0,00022868343678534195";"0,2326853969291081";"0,534171839268213";"True";"JUDUL";""
"1";"DENGAN RAHMAT TUHAN YANG MAHA ESA";"169,05";"442,5540000000001";"289,32600000000014";"301,32600000000014";"612,2";"AWKBDA+BookmanOldStyle-Bold";"12,0";"305,802";"306,1";"0,0004867690297288497";"0,27613524991832733";"0,4467559621038877";"True";"PEMBUKAAN";"FRASA RELIGIUS"
"1";"BUPATI MALANG,";"251,08";"360,928";"331,3460000000001";"343,3460000000001";"612,2";"AWKBDA+BookmanOldStyle-Bold";"12,0";"306,004";"306,1";"0,00015681149950997";"0,41012740934335185";"0,17943155831427635";"True";"PEMBUKAAN";"PEMBENTUK PPU"
"1";"Menimbang : bahwa untuk melaksanakan ketentuan dalam Pasal 51 ayat (5)";"68,025";"543,98";"373,3700000000001";"385,3700000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"306,0025";"306,1";"0,00015926167918984809";"0,1111156484808886";"0,7774501796798432";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Peraturan Pemerintah Nomor 12 Tahun 2019 tentang";"167,25";"543,858";"394,57000000000005";"406,57000000000005";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"355,554";"306,1";"0,08078079059130994";"0,2731950343025155";"0,6151715125775888";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Pengelolaan Keuangan Daerah, maka perlu membentuk";"167,25";"543,854";"415,6";"427,6";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"355,552";"306,1";"0,08077752368507023";"0,2731950343025155";"0,6151649787651094";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Peraturan Bupati tentang Standar Harga Satuan Tahun";"167,25";"544,02";"436,6";"448,6";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"355,635";"306,1";"0,0809131002940215";"0,2731950343025155";"0,6154361319830121";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Anggaran 2026;";"167,25";"260,71999999999997";"457,6";"469,6";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"213,98499999999999";"306,1";"0,15046553413917024";"0,2731950343025155";"0,15267886311662848";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Mengingat : 1. Undang-Undang Nomor 12 Tahun 1950 tentang";"67,825";"544,1320000000001";"499,6";"511,6";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"305,97850000000005";"306,1";"0,00019846455406724773";"0,11078895785690951";"0,7780251551780465";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Pembentukan Daerah-daerah Kabupaten di Lingkungan";"188,67";"544,0519999999999";"520,6";"532,6";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,36099999999993";"306,1";"0,0984335184580201";"0,3081836001306762";"0,5804998366546879";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Propinsi Jawa Timur (Berita Negara Republik Indonesia";"188,67";"543,7980000000002";"541,6200000000001";"553,6200000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,2340000000001";"306,1";"0,09822606991179364";"0,3081836001306762";"0,580084939562235";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Tahun 1950 Nomor 41), sebagaimana telah diubah dengan";"188,67";"543,93";"562,6200000000001";"574,6200000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,29999999999995";"306,1";"0,09833387781770651";"0,3081836001306762";"0,5803005553740607";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Undang-Undang Nomor 2 Tahun 1965 tentang Perubahan";"188,67";"543,8919999999999";"583,6200000000001";"595,6200000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,28099999999995";"306,1";"0,09830284220842848";"0,3081836001306762";"0,5802384841555046";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Batas Wilayah Kotapraja Surabaya dan Daerah Tingkat II";"188,67";"543,5699999999999";"604,6200000000001";"616,6200000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,11999999999995";"306,1";"0,09803985625612532";"0,3081836001306762";"0,5797125122508984";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Surabaya dengan mengubah Undang-Undang Nomor 12";"188,67";"544,1020000000001";"625,6300000000001";"637,6300000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,386";"306,1";"0,09847435478601764";"0,3081836001306762";"0,580581509310683";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Tahun 1950 tentang Pembentukan Daerah-daerah Kota";"188,67";"544,042";"646,6200000000001";"658,6200000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,356";"306,1";"0,09842535119242073";"0,3081836001306762";"0,5804835021234891";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Besar dalam Lingkungan Propinsi Jawa Timur, Jawa";"188,67";"543,7259999999998";"667,6500000000001";"679,6500000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,19799999999987";"306,1";"0,09816726559947703";"0,3081836001306762";"0,5799673309376018";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Tengah, Jawa Barat dan Daerah Istimewa Yogyakarta";"188,67";"543,678";"688,6500000000001";"700,6500000000001";"612,2";"AWCPPO+BookmanOldStyle";"12,0";"366,174";"306,1";"0,09812806272459973";"0,3081836001306762";"0,5798889251878472";"False";"PEMBUKAAN";"DASAR HUKUM"
