"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"BUPATI MALANG";"253,08";"358,608";"137,09600000000012";"149,09600000000012";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,844";"306,1";"0,00041816399869328425";"0,41339431558314277";"0,17237504083632796";"True";"JUDUL";""
"1";"PROVINSI JAWA TIMUR";"231,48";"380,17199999999997";"158,7260000000001";"170,7260000000001";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,82599999999996";"306,1";"0,00044756615485145007";"0,37811172819340083";"0,24288141130349553";"True";"JUDUL";""
"1";"PERATURAN BUPATI MALANG";"211,67";"399,938";"201,92600000000004";"213,92600000000004";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,804";"306,1";"0,00048350212348913604";"0,3457530218882718";"0,3075269519764783";"True";"JUDUL";""
"1";"NOMOR 1 TAHUN 2025";"233,48";"378,85";"223,52600000000007";"235,52600000000007";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"306,165";"306,1";"0,00010617445279320112";"0,3813786344331917";"0,2374550800392029";"True";"JUDUL";""
"1";"TENTANG";"275,48";"336,44000000000005";"245,1260000000001";"257,1260000000001";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,96000000000004";"306,1";"0,00022868343678534195";"0,44998366546880103";"0,09957530218882724";"True";"JUDUL";""
"1";"PEMBERIAN TAMBAHAN PENGHASILAN PEGAWAI";"149,65";"462,10600000000005";"266,7460000000001";"278,7460000000001";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,87800000000004";"306,1";"0,00036262659261675917";"0,24444625939235542";"0,5103822280300555";"True";"JUDUL";""
"1";"KEPADA APARATUR SIPIL NEGARA DI LINGKUNGAN";"141,65";"470,33799999999997";"288,3460000000001";"300,3460000000001";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,99399999999997";"306,1";"0,0001731460307090026";"0,23137863443319176";"0,5368964390721985";"True";"JUDUL";""
"1";"PEMERINTAH KABUPATEN MALANG";"192,45";"419,538";"309,94600000000014";"321,94600000000014";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,994";"306,1";"0,00017314603070890972";"0,314358052923881";"0,37093760209082";"True";"JUDUL";""
"1";"DENGAN RAHMAT TUHAN YANG MAHA ESA";"169,05";"442,5300000000001";"353,15600000000006";"365,15600000000006";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,7900000000001";"306,1";"0,0005063704671675032";"0,27613524991832733";"0,4467167592290102";"True";"PEMBUKAAN";"FRASA RELIGIUS"
"1";"BUPATI MALANG,";"251,08";"360,916";"396,3760000000001";"408,3760000000001";"612,2";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,998";"306,1";"0,00016661221822938954";"0,41012740934335185";"0,17941195687683759";"True";"PEMBUKAAN";"PEMBENTUK PPU"
"1";"Menimbang : a. bahwa untuk meningkatkan disiplin, motivasi, kinerja dan";"70,825";"541,0339999999999";"439,6";"451,6";"612,2";"BCDFEE+BookmanOldStyle";"12,0";"305,92949999999996";"306,1";"0,0002785037569422753";"0,11568931721659588";"0,7680643580529236";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"kesejahteraan bagi Aparatur Sipil Negara di Lingkungan";"191,45";"541,2059999999999";"459,20000000000005";"471,20000000000005";"612,2";"BCDFEE+BookmanOldStyle";"12,0";"366,328";"306,1";"0,09837961450506362";"0,3127245998039856";"0,571310029402156";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Pemerintah Kabupaten Malang, perlu diberikan tambahan";"191,45";"540,8179999999999";"478,82000000000005";"490,82000000000005";"612,2";"BCDFEE+BookmanOldStyle";"12,0";"366,1339999999999";"306,1";"0,09806272459980378";"0,3127245998039856";"0,5706762495916364";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"penghasilan pegawai kepada Aparatur Sipil Negara sesuai";"191,45";"541,3100000000001";"498,42";"510,42";"612,2";"BCDFEE+BookmanOldStyle";"12,0";"366,38";"306,1";"0,09846455406729822";"0,3127245998039856";"0,5714799085266253";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"kemampuan keuangan daerah;";"191,45";"375,56";"518,02";"530,02";"612,2";"BCDFEE+BookmanOldStyle";"12,0";"283,505";"306,1";"0,036907873244037936";"0,3127245998039856";"0,30073505390395294";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"b. bahwa untuk menyesuaikan perkembangan dan dinamika";"170,05";"541,156";"539,6200000000001";"551,6200000000001";"612,2";"BCDFEE+BookmanOldStyle";"12,0";"355,60299999999995";"306,1";"0,08086082979418478";"0,2777687030382228";"0,6061842535119241";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"peraturan perundang-undangan, maka Peraturan Bupati";"191,45";"541,018";"559,23";"571,23";"612,2";"BCDFEE+BookmanOldStyle";"12,0";"366,23400000000004";"306,1";"0,09822606991179354";"0,3127245998039856";"0,5710029402156158";"False";"PEMBUKAAN";"KONSIDERANS"
