"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"BUPATI MALANG";"245.08";"350.608";"152.50600000000009";"164.50600000000009";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.844";"306.1";"0.013485788957856956";"0.4003266906239791";"0.17237504083632796";"True";"BODY_TEXT";""
"1";"PROVINSI JAWA TIMUR";"223.47";"372.162";"170.32600000000002";"182.32600000000002";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.816";"306.1";"0.01353152564521406";"0.3650277687030382";"0.24288141130349553";"True";"BODY_TEXT";""
"1";"PERATURAN BUPATI MALANG";"203.68";"391.94800000000004";"206.1260000000001";"218.1260000000001";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.814";"306.1";"0.013534792551453775";"0.33270173146030707";"0.3075269519764783";"True";"BODY_TEXT";""
"1";"NOMOR 2 TAHUN 2025";"225.27";"370.64000000000004";"224.1260000000001";"236.1260000000001";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.95500000000004";"306.1";"0.013304475661548482";"0.36796798431885";"0.2374550800392029";"True";"BODY_TEXT";""
"1";"TENTANG";"267.27";"328.23";"241.92600000000004";"253.92600000000004";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.75";"306.1";"0.013639333551127118";"0.43657301535445925";"0.09957530218882724";"True";"BODY_TEXT";""
"1";"TATA NASKAH DINAS DI LINGKUNGAN PEMERINTAH";"131.45";"464.53";"259.92600000000004";"271.92600000000004";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.99";"306.1";"0.013247304802352193";"0.21471741261025806";"0.5440705651747794";"True";"BODY_TEXT";""
"1";"KABUPATEN MALANG";"229.48";"366.004";"277.7260000000001";"289.7260000000001";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.742";"306.1";"0.013652401176086251";"0.3748448219536099";"0.22300555374060768";"True";"BODY_TEXT";""
"1";"DENGAN RAHMAT TUHAN YANG MAHA ESA";"161.05";"434.6479999999999";"313.55600000000004";"325.55600000000004";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.84899999999993";"306.1";"0.013477621692257578";"0.2630676249591637";"0.4469095066971576";"True";"PEMBUKAAN";"FRASA RELIGIUS"
"1";"BUPATI MALANG,";"242.88";"352.71599999999995";"349.3560000000001";"361.3560000000001";"612.2";"BCDEEE+BookmanOldStyle-Bold";"12.0";"297.798";"306.1";"0.013560927801372134";"0.39673309376020904";"0.17941195687683756";"True";"PEMBUKAAN";""
"1";"Menimbang : a. bahwa untuk meningkatkan tertib, efisiensi, dan";"62.425";"532.924";"403.20000000000005";"415.20000000000005";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"297.67449999999997";"306.1";"0.01376265926167928";"0.10196831100947401";"0.7685380594576935";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"efektivitas administrasi penyelenggaraan pemerintahan";"197.08";"533.1279999999999";"421.0";"433.0";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"365.104";"306.1";"0.0963802678863116";"0.32192094086899703";"0.548918654034629";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"daerah diperlukan pedoman tata naskah dinas di";"197.08";"532.96";"439.0";"451.0";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"365.02000000000004";"306.1";"0.09624305782424046";"0.32192094086899703";"0.5486442339104867";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"lingkungan Pemerintah Kabupaten Malang;";"197.08";"453.78999999999996";"456.8";"468.8";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"325.435";"306.1";"0.031582816073178664";"0.32192094086899703";"0.4193237504083631";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"b. bahwa Peraturan Bupati Malang Nomor 36 Tahun 2011";"168.65";"533.322";"474.8";"486.8";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"350.986";"306.1";"0.07331917673962751";"0.27548186867036917";"0.5956746161385168";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"tentang Pedoman Tata Naskah Dinas di Lingkungan";"197.08";"533.418";"492.6";"504.6";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"365.249";"306.1";"0.0966171185886965";"0.32192094086899703";"0.5493923554393988";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Pemerintah Kabupaten Malang sudah tidak sesuai";"197.08";"533.234";"510.6";"522.6";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"365.15700000000004";"306.1";"0.09646684090166614";"0.32192094086899703";"0.5490918000653381";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"dengan perkembangan organisasi, peraturan";"197.08";"532.9599999999999";"528.4200000000001";"540.4200000000001";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"365.02";"306.1";"0.09624305782424036";"0.32192094086899703";"0.5486442339104866";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"perundang-undangan, dan perkembangan teknologi";"197.08";"533.258";"546.4200000000001";"558.4200000000001";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"365.16900000000004";"306.1";"0.09648644233910489";"0.32192094086899703";"0.5491310029402156";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"komunikasi dan informasi, sehingga perlu diganti;";"197.08";"494.0359999999999";"564.22";"576.22";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"345.55799999999994";"306.1";"0.06445279320483488";"0.32192094086899703";"0.48506370467167575";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"c. bahwa berdasarkan pertimbangan sebagaimana dimaksud";"168.65";"533.7900000000001";"582.22";"594.22";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"351.22";"306.1";"0.07370140476968311";"0.27548186867036917";"0.596439072198628";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"dalam huruf a dan huruf b, perlu menetapkan";"197.08";"532.8759999999999";"600.02";"612.02";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"364.97799999999995";"306.1";"0.09617445279320472";"0.32192094086899703";"0.5485070238484152";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Peraturan Bupati tentang Tata Naskah Dinas di";"197.08";"533.174";"618.02";"630.02";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"365.127";"306.1";"0.09641783730806923";"0.32192094086899703";"0.5489937928781442";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Lingkungan Pemerintah Kabupaten Malang;";"197.08";"457.132";"635.85";"647.85";"612.2";"BCDFEE+BookmanOldStyle";"12.0";"327.106";"306.1";"0.03431231623652396";"0.32192094086899703";"0.4247827507350539";"False";"PEMBUKAAN";"KONSIDERANS"
