"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"1";"301,05";"308,49";"38,80000000000007";"50,80000000000007";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"304,77";"304,7";"0,00011486708237609646";"0,4940105021332459";"0,01220872989826058";"False";"BODY_TEXT";""
"1";"BUPATI MALANG";"251,75";"357,59000000000003";"118,096";"130,096";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,67";"304,7";"4,922874958971565e-05";"0,41311125697407286";"0,1736790285526748";"True";"JUDUL";""
"1";"PROVINSI JAWA TIMUR";"230,25";"379,182";"136,29600000000005";"148,29600000000005";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,716";"304,7";"2,625533311457098e-05";"0,37783065310141123";"0,24439120446340667";"True";"JUDUL";""
"1";"PERATURAN BUPATI MALANG";"210,43";"398,95000000000005";"172,69600000000003";"184,69600000000003";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,69000000000005";"304,7";"1,6409583196478606e-05";"0,3453068592057762";"0,3093534624220546";"True";"JUDUL";""
"1";"NOMOR 32 TAHUN 2025";"228,15";"381,27000000000004";"190,89600000000007";"202,89600000000007";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,71000000000004";"304,7";"1,640958319666516e-05";"0,374384640630128";"0,25126353790613726";"True";"JUDUL";""
"1";"TENTANG";"274,15";"335,31399999999996";"209,096";"221,096";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,73199999999997";"304,7";"5,251066622904868e-05";"0,4498687233344273";"0,10036757466360352";"True";"JUDUL";""
"1";"PENGGUNAAN TANDA TANGAN ELEKTRONIK";"163,53";"445,73400000000004";"227,29600000000005";"239,29600000000005";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,632";"304,7";"0,00011158516573676342";"0,26834591401378405";"0,46308500164095845";"True";"JUDUL";""
"1";"DI LINGKUNGAN PEMERINTAH KABUPATEN MALANG";"137,43";"471,82199999999995";"245,49599999999998";"257,496";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,626";"304,7";"0,00012143091565476252";"0,2255169018706925";"0,5487233344273055";"True";"JUDUL";""
"1";"DENGAN RAHMAT TUHAN YANG MAHA ESA";"167,83";"441,51400000000007";"281,8960000000001";"293,8960000000001";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,672";"304,7";"4,5946832950382615e-05";"0,27540203478831643";"0,4491040367574665";"True";"PEMBUKAAN";"FRASA RELIGIUS"
"1";"BUPATI MALANG,";"249,75";"359,694";"318,29600000000005";"330,29600000000005";"609,4";"ABCDEE+BookmanOldStyle-Bold";"12,0";"304,722";"304,7";"3,61010830324768e-05";"0,4098293403347555";"0,180413521496554";"True";"PEMBUKAAN";"PEMBENTUK PPU"
"1";"Menimbang : bahwa untuk melaksanakan ketentuan dalam Pasal 2 ayat (3)";"66,6";"538,6";"354,65";"366,65";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"302,6";"304,7";"0,0034460124712831735";"0,10928782408926813";"0,7745323268788973";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"huruf a Peraturan Pemerintah Nomor 71 Tahun 2019";"158,43";"538,61";"371,85";"383,85";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"348,52";"304,7";"0,07190679356744338";"0,2599770265835248";"0,6238595339678372";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"tentang Penyelenggaraan Sistem dan Transaksi Elektronik,";"158,43";"538,64";"389,05000000000007";"401,05000000000007";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"348,53499999999997";"304,7";"0,07193140794223823";"0,2599770265835248";"0,623908762717427";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"maka perlu menetapkan Peraturan Bupati tentang Penggunaan";"158,43";"538,674";"406,25";"418,25";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"348,552";"304,7";"0,07195930423367251";"0,2599770265835248";"0,6239645553002954";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Tanda Tangan Elektronik di Lingkungan Pemerintah";"158,43";"538,6999999999999";"423,45";"435,45";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"348,56499999999994";"304,7";"0,07198063669182796";"0,2599770265835248";"0,6240072202166064";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Kabupaten Malang;";"158,43";"273,39";"440,65";"452,65";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"215,91";"304,7";"0,14570068920249424";"0,2599770265835248";"0,1886445684279619";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Mengingat : 1. Undang-Undang Nomor 12 Tahun 1950 tentang";"70,9";"538,62";"477,04999999999995";"489,04999999999995";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"304,76";"304,7";"9,845749917952458e-05";"0,11634394486380047";"0,7675090252707581";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Pembentukan Daerah-daerah Kabupaten di Lingkungan";"177,53";"538,5019999999998";"494,24999999999994";"506,24999999999994";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,0159999999999";"304,7";"0,08748933377092209";"0,2913193304890056";"0,5923400065638331";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Propinsi Jawa Timur (Berita Negara Republik Indonesia";"177,53";"538,554";"511,45";"523,45";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,042";"304,7";"0,08753199868723333";"0,2913193304890056";"0,5924253363964556";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Tahun 1950 Nomor 41), sebagaimana telah diubah";"177,53";"538,4319999999999";"528,65";"540,65";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"357,98099999999994";"304,7";"0,08743190022973409";"0,2913193304890056";"0,592225139481457";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"dengan Undang-Undang Nomor 2 Tahun 1965 tentang";"177,53";"538,626";"545,8499999999999";"557,8499999999999";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,078";"304,7";"0,08759107318674103";"0,2913193304890056";"0,592543485395471";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Perubahan Batas Wilayah Kotapraja Surabaya dan Daerah";"177,53";"538,626";"563,05";"575,05";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,078";"304,7";"0,08759107318674103";"0,2913193304890056";"0,592543485395471";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Tingkat II Surabaya dengan mengubah Undang-Undang";"177,53";"538,648";"580,27";"592,27";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,089";"304,7";"0,08760912372825733";"0,2913193304890056";"0,5925795864785035";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Nomor 12 Tahun 1950 tentang Pembentukan Daerah-daerah";"177,53";"538,6659999999999";"597,47";"609,47";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,09799999999996";"304,7";"0,08762389235313418";"0,2913193304890056";"0,5926091237282572";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Kota Besar dalam Lingkungan Propinsi Jawa Timur,";"177,53";"538,5880000000001";"614,68";"626,68";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,059";"304,7";"0,0875598949786676";"0,2913193304890056";"0,5924811289793241";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Jawa Tengah, Jawa Barat dan Daerah Istimewa Yogyakarta";"177,53";"538,644";"631,8799999999999";"643,8799999999999";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,087";"304,7";"0,08760584181161798";"0,2913193304890056";"0,5925730226452249";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"(Lembaran Negara Republik Indonesia Tahun 1965";"177,53";"538,5540000000001";"649,0699999999999";"661,0699999999999";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,04200000000003";"304,7";"0,08753199868723341";"0,2913193304890056";"0,5924253363964558";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Nomor 19, Tambahan Lembaran Negara Republik Indonesia";"177,53";"538,542";"666,27";"678,27";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,036";"304,7";"0,08752215293731541";"0,2913193304890056";"0,5924056448966197";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Nomor 2730);";"177,53";"257,366";"683,47";"695,47";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"217,44799999999998";"304,7";"0,14317689530685923";"0,2913193304890056";"0,13100754840827042";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"2. Undang-Undang Nomor 11 Tahun 2008 tentang Informasi";"156,02";"538,4540000000001";"701,67";"713,67";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"347,237";"304,7";"0,06980144404332136";"0,2560223170331474";"0,627558254020348";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"dan Transaksi Elektronik (Lembaran Negara Republik";"177,53";"538,322";"718,87";"730,87";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"357,926";"304,7";"0,08734164752215294";"0,2913193304890056";"0,5920446340662948";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Indonesia Tahun 2008 Nomor 58, Tambahan Lembaran";"177,53";"538,4179999999999";"736,0699999999999";"748,0699999999999";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"357,97399999999993";"304,7";"0,08742041352149646";"0,2913193304890056";"0,5922021660649819";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Negara Republik Indonesia Nomor 4843), sebagaimana";"177,53";"538,5920000000001";"753,27";"765,27";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"358,06100000000004";"304,7";"0,08756317689530695";"0,2913193304890056";"0,5924876928126028";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"telah diubah dengan Undang-Undang Nomor 19 Tahun 2016";"177,53";"538,3820000000001";"770,47";"782,47";"609,4";"ABCDEE+BookmanOldStyle";"12,0";"357,956";"304,7";"0,08739087627174275";"0,2913193304890056";"0,5921430915654744";"False";"PEMBUKAAN";"DASAR HUKUM"
