"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"BUPATI MALANG";"253,08";"358,608";"125,4960000000001";"137,4960000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,844";"306,1";"0,00041816399869328425";"0,41339431558314277";"0,17237504083632796";"True";"JUDUL";""
"1";"PROVINSI JAWA TIMUR";"231,48";"380,17199999999997";"145,90600000000006";"157,90600000000006";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,82599999999996";"306,1";"0,00044756615485145007";"0,37811172819340083";"0,24288141130349553";"True";"JUDUL";""
"1";"PERATURAN BUPATI MALANG";"211,67";"399,938";"186,52600000000007";"198,52600000000007";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,804";"306,1";"0,00048350212348913604";"0,3457530218882718";"0,3075269519764783";"True";"JUDUL";""
"1";"NOMOR 3 TAHUN 2025";"233,48";"378,85";"206,92600000000004";"218,92600000000004";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,165";"306,1";"0,00010617445279320112";"0,3813786344331917";"0,2374550800392029";"True";"JUDUL";""
"1";"TENTANG";"275,48";"336,44000000000005";"227,1260000000001";"239,1260000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,96000000000004";"306,1";"0,00022868343678534195";"0,44998366546880103";"0,09957530218882724";"True";"JUDUL";""
"1";"TEKNIS PEMBERIAN";"241,47";"370,506";"247,52600000000007";"259,52600000000007";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,988";"306,1";"0,00018294674942832928";"0,39442992486115647";"0,21077425677883038";"True";"JUDUL";""
"1";"TUNJANGAN HARI RAYA DAN GAJI KETIGA BELAS";"146,65";"464,98599999999993";"267,7460000000001";"279,7460000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,818";"306,1";"0,0004606337798105833";"0,23954590003266904";"0,5199869323750407";"True";"JUDUL";""
"1";"YANG BERSUMBER DARI ANGGARAN PENDAPATAN DAN BELANJA DAERAH";"71,425";"540,986";"288,1460000000001";"300,1460000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,2055";"306,1";"0,00017232930414888846";"0,11666938908853315";"0,7670058804312315";"True";"JUDUL";""
"1";"TAHUN 2025";"265,88";"346,42";"307,3460000000001";"319,3460000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,15";"306,1";"8,167265599469867e-05";"0,4343025155178046";"0,1315583142763803";"True";"JUDUL";""
"1";"DENGAN RAHMAT TUHAN YANG MAHA ESA";"169,05";"442,77";"347,95600000000013";"359,95600000000013";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,90999999999997";"306,1";"0,00031035609278022634";"0,27613524991832733";"0,44710878797778497";"True";"PEMBUKAAN";"FRASA RELIGIUS"
"1";"BUPATI MALANG,";"251,08";"360,916";"388,57600000000014";"400,57600000000014";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,998";"306,1";"0,00016661221822938954";"0,41012740934335185";"0,17941195687683759";"True";"PEMBUKAAN";"PEMBENTUK PPU"
"1";"Menimbang : bahwa untuk melaksanakan ketentuan dalam Pasal 20";"70,825";"541,21";"429,40000000000003";"441,40000000000003";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"306,01750000000004";"306,1";"0,00013475988239134565";"0,11568931721659588";"0,7683518458020255";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"ayat (2) Peraturan Pemerintah Nomor 11 Tahun 2025 tentang";"170,05";"541,1700000000001";"448,6";"460,6";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"355,61";"306,1";"0,08087226396602415";"0,2777687030382228";"0,6062071218556028";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Pemberian Tunjangan Hari Raya dan Gaji Ketiga Belas kepada";"170,05";"540,6340000000001";"468,00000000000006";"480,00000000000006";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"355,3420000000001";"306,1";"0,0804344985298923";"0,2777687030382228";"0,6053315909833389";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Aparatur Negara, Pensiunan, Penerima Pensiun, dan Penerima";"170,05";"541,0980000000001";"487,22";"499,22";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"355,57400000000007";"306,1";"0,08081345965370801";"0,2777687030382228";"0,6060895132309703";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Tunjangan Tahun 2025, maka perlu membentuk Peraturan";"170,05";"540,9219999999999";"506,62000000000006";"518,6200000000001";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"355,486";"306,1";"0,08066971577915708";"0,2777687030382228";"0,6058020254818685";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Bupati tentang Teknis Pemberian Tunjangan Hari Raya dan";"170,05";"540,7259999999999";"525,82";"537,82";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"355,3879999999999";"306,1";"0,0805096373734072";"0,2777687030382228";"0,6054818686703689";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Gaji Ketiga Belas yang Bersumber dari Anggaran Pendapatan";"170,05";"540,9039999999999";"545,22";"557,22";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"355,477";"306,1";"0,080655014701078";"0,2777687030382228";"0,6057726233257102";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"dan Belanja Daerah Tahun 2025;";"170,05";"366,77";"564,4200000000001";"576,4200000000001";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"268,40999999999997";"306,1";"0,06156484808885993";"0,2777687030382228";"0,3213328977458346";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Mengingat : 1. Undang-Undang Nomor 12 Tahun 1950 tentang";"70,825";"541,186";"605,05";"617,05";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"306,00550000000004";"306,1";"0,0001543613198300919";"0,11568931721659588";"0,768312642927148";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Pembentukan Daerah-daerah Kabupaten di Lingkungan";"191,45";"541,276";"624,45";"636,45";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"366,36299999999994";"306,1";"0,09843678536425991";"0,3127245998039856";"0,5714243711205488";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Propinsi Jawa Timur (Berita Negara Republik Indonesia";"191,45";"540,9140000000002";"643,85";"655,85";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"366,18200000000013";"306,1";"0,09814113034955914";"0,3127245998039856";"0,5708330610911471";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Tahun 1950 Nomor 41), sebagaimana telah diubah dengan";"191,45";"541,43";"663,0500000000001";"675,0500000000001";"612,2";"BCDEEE+BookmanOldStyle";"11,999999999999972";"366,43999999999994";"306,1";"0,09856256125449185";"0,3127245998039856";"0,5716759229010127";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Undang-Undang Nomor 2 Tahun 1965 tentang Perubahan";"191,45";"540,896";"682,45";"694,45";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"366,173";"306,1";"0,09812642927147987";"0,3127245998039856";"0,5708036589349885";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Batas Wilayah Kotapraja Surabaya dan Daerah Tingkat II";"191,45";"540,9240000000001";"701,6700000000001";"713,6700000000001";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"366,187";"306,1";"0,09814929761515842";"0,3127245998039856";"0,5708493956223457";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Surabaya dengan mengubah Undang-Undang Nomor 12";"191,45";"541,072";"721,07";"733,07";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"366,26099999999997";"306,1";"0,0982701731460306";"0,3127245998039856";"0,5710911466840901";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Tahun 1950 tentang Pembentukan Daerah-daerah Kota";"191,45";"541,446";"740,27";"752,27";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"366,448";"306,1";"0,09857562887945108";"0,3127245998039856";"0,5717020581509311";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Besar dalam Lingkungan Propinsi Jawa Timur, Jawa";"191,45";"541,1279999999999";"759,6700000000001";"771,6700000000001";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"366,289";"306,1";"0,09831590983338771";"0,3127245998039856";"0,5711826200588042";"False";"PEMBUKAAN";"DASAR HUKUM"
"1";"Tengah, Jawa Barat dan Daerah Istimewa Yogyakarta";"191,45";"540,8960000000001";"778,87";"790,87";"612,2";"BCDEEE+BookmanOldStyle";"12,0";"366,173";"306,1";"0,09812642927147987";"0,3127245998039856";"0,5708036589349886";"False";"PEMBUKAAN";"DASAR HUKUM"
