"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"pp";"298,5";"313,78000000000003";"79,69600000000014";"91,69600000000014";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,14";"306,1";"6,533812479575894e-05";"0,48758575628879447";"0,02495916367200266";"False";"BODY_TEXT";""
"1";"BUPATI MALANG";"253,08";"358,608";"119,09600000000012";"131,09600000000012";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,844";"306,1";"0,00041816399869328425";"0,41339431558314277";"0,17237504083632796";"True";"JUDUL";""
"1";"PROVINSI JAWA TIMUR";"231,48";"380,17199999999997";"138,90600000000006";"150,90600000000006";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,82599999999996";"306,1";"0,00044756615485145007";"0,37811172819340083";"0,24288141130349553";"True";"JUDUL";""
"1";"PERATURAN BUPATI MALANG";"211,67";"400,036";"176,7260000000001";"188,7260000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,853";"306,1";"0,00040346292061420135";"0,3457530218882718";"0,30768703038222806";"True";"JUDUL";""
"1";"NOMOR 4 TAHUN 2025";"233,48";"378,85";"195,1260000000001";"207,1260000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"306,165";"306,1";"0,00010617445279320112";"0,3813786344331917";"0,2374550800392029";"True";"JUDUL";""
"1";"TENTANG";"275,48";"336,44000000000005";"213,32600000000014";"225,32600000000014";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"305,96000000000004";"306,1";"0,00022868343678534195";"0,44998366546880103";"0,09957530218882724";"True";"JUDUL";""
"1";"PERUBAHAN ATAS PERATURAN BUPATI MALANG";"149,85";"459,466";"231,7260000000001";"243,7260000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"304,658";"306,1";"0,0023554393988892636";"0,2447729500163345";"0,5057432211695524";"True";"JUDUL";""
"1";"NOMOR 189 TAHUN 2024 TENTANG PENJABARAN ANGGARAN";"108,62";"500,74";"249,92600000000004";"261,92600000000004";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"304,68";"306,1";"0,0023195034302515775";"0,17742567788304475";"0,6405096373734074";"True";"JUDUL";""
"1";"PENDAPATAN DAN BELANJA DAERAH";"185,65";"423,82399999999996";"267,3460000000001";"279,3460000000001";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"304,73699999999997";"306,1";"0,0022263966024176026";"0,30325057170859193";"0,3890460633779809";"True";"JUDUL";""
"1";"TAHUN ANGGARAN 2025";"226,68";"383,05";"285,54600000000005";"297,54600000000005";"612,2";"BCDFEE+BookmanOldStyle-Bold";"12,0";"304,865";"306,1";"0,002017314603070914";"0,3702711532179026";"0,2554230643580529";"True";"JUDUL";""
