"page";"text";"x0";"x1";"top";"bottom";"page_width";"font_name";"font_size";"line_center";"page_center";"center_score";"left_ratio";"width_ratio";"is_all_caps";"sistematika";"unsur"
"1";"BUPATI MALANG";"253,08";"358,608";"131,89600000000007";"143,89600000000007";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,844";"306,0";"0,0002549019607843234";"0,4135294117647059";"0,1724313725490196";"True";"JUDUL";""
"1";"PROVINSI JAWA TIMUR";"231,48";"380,17199999999997";"150,29600000000005";"162,29600000000005";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,82599999999996";"306,0";"0,0002843137254902533";"0,37823529411764706";"0,24296078431372545";"True";"JUDUL";""
"1";"PERATURAN BUPATI MALANG";"211,67";"399,938";"183,92600000000004";"195,92600000000004";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,804";"306,0";"0,00032026143790853985";"0,3458660130718954";"0,3076274509803922";"True";"JUDUL";""
"1";"NOMOR 9 TAHUN 2025";"233,28";"378,64000000000004";"202,1260000000001";"214,1260000000001";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,96000000000004";"306,0";"6,535947712412356e-05";"0,3811764705882353";"0,2375163398692811";"True";"JUDUL";""
"1";"TENTANG";"275,27";"336,23";"220,52600000000007";"232,52600000000007";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,75";"306,0";"0,0004084967320261438";"0,44978758169934635";"0,09960784313725496";"True";"JUDUL";""
"1";"PERUBAHAN RENCANA KERJA PEMERINTAH DAERAH";"134,65";"477,08";"238,726";"250,726";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,865";"306,0";"0,00022058823529410277";"0,22001633986928104";"0,5595261437908496";"True";"JUDUL";""
"1";"TAHUN 2025";"265,67";"346,22";"257,1260000000001";"269,1260000000001";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,94500000000005";"306,0";"8,98692810456699e-05";"0,4341013071895425";"0,13161764705882356";"True";"JUDUL";""
"1";"DENGAN RAHMAT TUHAN YANG MAHA ESA";"169,05";"442,5300000000001";"293,7460000000001";"305,7460000000001";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,7900000000001";"306,0";"0,0003431372549018345";"0,27622549019607845";"0,44686274509803936";"True";"PEMBUKAAN";"FRASA RELIGIUS"
"1";"BUPATI MALANG,";"250,88";"360,71599999999995";"330,346";"342,346";"612,0";"BCDEEE+BookmanOldStyle-Bold";"12,0";"305,798";"306,0";"0,0003300653594771212";"0,4099346405228758";"0,17947058823529405";"True";"PEMBUKAAN";"PEMBENTUK PPU"
"1";"Menimbang : bahwa berkenaan dengan perkembangan yang tidak sesuai";"70,825";"541,0980000000001";"368,98";"380,98";"612,0";"BCDFEE+BookmanOldStyle";"12,0";"305,96150000000006";"306,0";"6,290849673193178e-05";"0,11572712418300654";"0,768419934640523";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"dengan Asumsi Rencana Kerja Pemerintah Daerah";"170,05";"541,054";"387,38";"399,38";"612,0";"BCDFEE+BookmanOldStyle";"12,0";"355,552";"306,0";"0,08096732026143794";"0,277859477124183";"0,6062156862745097";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Tahun 2025, dan untuk melaksanakan ketentuan dalam";"170,05";"540,9319999999999";"405,6";"417,6";"612,0";"BCDFEE+BookmanOldStyle";"12,0";"355,491";"306,0";"0,0808676470588235";"0,277859477124183";"0,6060163398692808";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Pasal 355 ayat (1) Peraturan Menteri Dalam Negeri";"170,05";"540,724";"424,0";"436,0";"612,0";"BCDFEE+BookmanOldStyle";"12,0";"355,38700000000006";"306,0";"0,08069771241830075";"0,277859477124183";"0,6056764705882354";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Nomor 86 Tahun 2017 tentang Tata Cara Perencanaan,";"170,05";"540,784";"442,2";"454,2";"612,0";"BCDFEE+BookmanOldStyle";"12,0";"355,41700000000003";"306,0";"0,08074673202614384";"0,277859477124183";"0,6057745098039216";"False";"PEMBUKAAN";"KONSIDERANS"
"1";"Pengendalian dan Evaluasi Pembangunan Daerah, Tata";"170,05";"540,918";"460,59999999999997";"472,59999999999997";"612,0";"BCDFEE+BookmanOldStyle";"12,0";"355,48400000000004";"306,0";"0,08085620915032686";"0,277859477124183";"0,6059934640522876";"False";"PEMBUKAAN";"KONSIDERANS"
