"label","numbering","text"
"PEMBUKAAN (KONSIDERAN)","a","bahwa hak asasi manusia adalah hak-hak dasar yang melekat pada setiap manusia sejak lahir, bersifat universal, dan tidak dapat dicabut;"
"PEMBUKAAN (KONSIDERAN)","b","bahwa setiap warga masyarakat, termasuk para penyandang disabilitas mempunyai kedudukan hukum dan memiliki hak asasi manusia yang sama sebagai warga masyarakat untuk hidup maju dan berkembang secara adil dan bermartabat, guna mencapai kesejahteraan;"
"PEMBUKAAN (KONSIDERAN)","c","bahwa berdasarkan pertimbangan sebagaimana dimaksud pada huruf a dan huruf b, serta untuk melaksanakan ketentuan dalam Pasal 27 ayat (1) Undang-Undang Nomor 8 Tahun 2016 tentang Penyandang Disabilitas, maka perlu menetapkan Peraturan Daerah tentang Penghormatan, Pelindungan, dan Pemenuhan Hak Penyandang Disabilitas;"
"PEMBUKAAN (KONSIDERAN)","d","partisipasi penuh;"
"PEMBUKAAN (KONSIDERAN)","e","keragaman manusia dan kemanusiaan;"
"PEMBUKAAN (KONSIDERAN)","f","Kesamaan Kesempatan;"
"PEMBUKAAN (KONSIDERAN)","g","kesetaraan;"
"PEMBUKAAN (KONSIDERAN)","h","Aksesibilitas;"
"PEMBUKAAN (KONSIDERAN)","i","kapasitas yang terus berkembang dan identitas anak;"
"PEMBUKAAN (KONSIDERAN)","j","inklusif; dan"
"PEMBUKAAN (KONSIDERAN)","k","perlakuan khusus dan Pelindungan lebih. Pasal 3"
"PEMBUKAAN (KONSIDERAN)","l","kesejahteraan sosial; m. Aksesibilitas; n. Pelayanan Publik; o. Pelindungan dari bencana; p. habilitasi dan rehabilitasi; q. Konsesi; r. pendataan; s. hidup secara mandiri dan dilibatkan dalam masyarakat; t. berekspresi, berkomunikasi, dan memperoleh informasi; u. berpindah tempat dan kewarganegaraan; dan v. bebas dari tindakan Diskriminasi, penelantaran, penyiksaan, dan eksploitasi."
