"label","numbering","text"
"PEMBUKAAN (DASAR HUKUM)","1","Pasal 18 ayat (6) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;"
"PEMBUKAAN (DASAR HUKUM)","2","Undang-Undang Nomor 12 Tahun 1950 tentang Pembentukan Daerah-daerah Kabupaten di Lingkungan Propinsi Jawa Timur (Berita Negara Republik Indonesia Tahun 1950 Nomor 41), sebagaimana telah diubah dengan Undang-Undang Nomor 2 Tahun 1965 tentang Perubahan Batas Wilayah Kotapraja Surabaya dan Daerah Tingkat II Surabaya dengan mengubah Undang-Undang Nomor 12 Tahun 1950 tentang Pembentukan Daerah-daerah Kota Besar dalam Lingkungan Propinsi Jawa Timur, Jawa Tengah, Jawa Barat dan Daerah Istimewa Yogyakarta (Lembaran Negara Republik Indonesia Tahun 1965 Nomor 19, Tambahan Lembaran Negara Republik Indonesia Nomor 2730); 2"
"PEMBUKAAN (DASAR HUKUM)","3","Undang-Undang Nomor 12 Tahun 2011 tentang Pembentukan Peraturan Perundang-undangan (Lembaran Negara Republik Indonesia Tahun 2011 Nomor 82, Tambahan Lembaran Negara Republik Indonesia Nomor 5234), sebagaimana telah diubah beberapa kali, terakhir dengan Undang-Undang Nomor 13 Tahun 2022 tentang Perubahan Kedua atas Undang-Undang Nomor 12 Tahun 2011 tentang Pembentukan Peraturan Perundang-undangan (Lembaran Negara Republik Indonesia Tahun 2022 Nomor 143, Tambahan Lembaran Negara Republik Indonesia Nomor 6801);"
"PEMBUKAAN (DASAR HUKUM)","4","Undang-Undang Nomor 19 Tahun 2011 tentang Pengesahan Convention on the Rights of Persons with Disabilities (Konvensi mengenai Hak-Hak Penyandang Disabilitas) (Lembaran Negara Republik Indonesia Tahun 2011 Nomor 107, Tambahan Lembaran Negara Republik Indonesia Nomor 5251);"
"PEMBUKAAN (DASAR HUKUM)","5","Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 244, Tambahan Lembaran Negara Republik Indonesia Nomor 5587), sebagaimana telah diubah beberapa kali, terakhir dengan Undang-Undang Nomor 9 Tahun 2015 tentang Perubahan Kedua atas Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintahan Daerah (Lembaran Negara Republik Indonesia Tahun 2015 Nomor 58, Tambahan Lembaran Negara Republik Indonesia Nomor 5679);"
"PEMBUKAAN (DASAR HUKUM)","6","Undang-Undang Nomor 8 Tahun 2016 tentang Penyandang Disabilitas (Lembaran Negara Republik Indonesia Tahun 2016 Nomor 69, Tambahan Lembaran Negara Republik Indonesia Nomor 5871);"
"PEMBUKAAN (DASAR HUKUM)","7","Peraturan Pemerintah Nomor 70 Tahun 2019 tentang Perencanaan, Penyelenggaraan, dan Evaluasi terhadap Penghormatan, Pelindungan, dan Pemenuhan Hak Penyandang Disabilitas (Lembaran Negara Republik Indonesia Tahun 2019 Nomor 184, Tambahan Lembaran Negara Republik Indonesia Nomor 6399); 3"
"PEMBUKAAN (DASAR HUKUM)","8","Peraturan Presiden Nomor 87 Tahun 2014 tentang Peraturan Pelaksanaan Undang-Undang Nomor 12 Tahun 2011 tentang Pembentukan Peraturan Perundang-undangan (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 199), sebagaimana telah diubah dengan Peraturan Presiden Nomor 76 Tahun 2021 tentang Perubahan atas Peraturan Presiden Nomor 87 Tahun 2014 tentang Peraturan Pelaksanaan Undang-Undang Nomor 12 Tahun 2011 tentang Pembentukan Peraturan Perundang-undangan (Lembaran Negara Republik Indonesia Tahun 2021 Nomor 186);"
"PEMBUKAAN (DASAR HUKUM)","9","Peraturan Menteri Dalam Negeri Nomor 80 Tahun 2015 tentang Pembentukan Produk Hukum Daerah (Berita Negara Republik Indonesia Tahun 2015 Nomor 2036), sebagaimana telah diubah dengan Peraturan Menteri Dalam Negeri Nomor 120 Tahun 2018 tentang Perubahan atas Peraturan Menteri Dalam Negeri Nomor 80 Tahun 2015 tentang Pembentukan Produk Hukum Daerah (Berita Negara Republik Indonesia Tahun 2019 Nomor 157); Dengan Persetujuan Bersama"
"PEMBUKAAN (DASAR HUKUM)","10","Penghormatan adalah sikap menghargai atau menerima keberadaan Penyandang Disabilitas dengan segala hak yang melekat tanpa berkurang."
"PEMBUKAAN (DASAR HUKUM)","11","Pelindungan adalah upaya yang dilakukan secara sadar untuk melindungi, mengayomi, dan memperkuat hak Penyandang Disabilitas."
"PEMBUKAAN (DASAR HUKUM)","12","Pemenuhan adalah upaya yang dilakukan untuk memenuhi, melaksanakan, dan mewujudkan hak Penyandang Disabilitas."
"PEMBUKAAN (DASAR HUKUM)","13","Pemberdayaan adalah upaya untuk menguatkan keberadaan Penyandang Disabilitas dalam bentuk penumbuhan iklim dan pengembangan potensi sehingga mampu tumbuh dan berkembang menjadi individu atau kelompok Penyandang Disabilitas yang tangguh dan mandiri. 5"
"PEMBUKAAN (DASAR HUKUM)","14","Aksesibilitas adalah kemudahan yang disediakan untuk Penyandang Disabilitas guna mewujudkan Kesamaan Kesempatan."
"PEMBUKAAN (DASAR HUKUM)","15","Akomodasi yang Layak adalah modifikasi dan penyesuaian yang tepat dan diperlukan untuk menjamin penikmatan atau pelaksanaan semua hak asasi manusia dan kebebasan fundamental untuk Penyandang Disabilitas berdasarkan kesetaraan."
"PEMBUKAAN (DASAR HUKUM)","16","Alat Bantu adalah benda yang berfungsi membantu kemandirian Penyandang Disabilitas dalam melakukan kegiatan sehari-hari."
"PEMBUKAAN (DASAR HUKUM)","17","Alat Bantu Kesehatan adalah benda yang berfungsi mengoptimalkan fungsi anggota tubuh Penyandang Disabilitas berdasarkan rekomendasi dari tenaga medis."
"PEMBUKAAN (DASAR HUKUM)","18","Konsesi adalah segala bentuk potongan biaya yang diberikan oleh Pemerintah, Pemerintah Daerah, dan/atau setiap orang kepada Penyandang Disabilitas berdasarkan kebijakan Pemerintah dan Pemerintah Daerah."
"PEMBUKAAN (DASAR HUKUM)","19","Pelayanan Publik adalah kegiatan atau rangkaian kegiatan dalam rangka Pemenuhan kebutuhan pelayanan sesuai dengan ketentuan peraturan perundang-undangan bagi setiap warga negara dan penduduk atas barang, jasa, dan/atau pelayanan administratif yang disediakan oleh penyelenggara Pelayanan Publik."
"PEMBUKAAN (DASAR HUKUM)","20","Unit Layanan Disabilitas adalah bagian dari satu institusi atau lembaga yang berfungsi sebagai penyedia layanan dan fasilitas untuk Penyandang Disabilitas."
"PEMBUKAAN (DASAR HUKUM)","21","Pemberi Kerja adalah orang perseorangan, pengusaha, badan hukum, atau badan lainnya yang mempekerjakan tenaga kerja dengan membayar upah atau imbalan dalam bentuk lain."
"PEMBUKAAN (DASAR HUKUM)","22","Perencanaan adalah suatu proses untuk menentukan tindakan masa depan yang tepat, melalui urutan pilihan, dengan memperhitungkan sumber daya yang tersedia. 6"
"PEMBUKAAN (DASAR HUKUM)","23","Penyelenggaraan adalah pelaksanaan terhadap Penghormatan, Pelindungan, dan Pemenuhan hak penyandang Disabilitas berdasarkan pada rencana induk Penyandang Disabilitas, dan rencana aksi daerah penyandang Disabilitas."
"PEMBUKAAN (DASAR HUKUM)","24","Rencana Aksi Daerah Penyandang Disabilitas adalah dokumen perencanaan dan penganggaran pembangunan terkait Penghormatan, Pelindungan, dan Pemenuhan hak Penyandang Disabilitas yang merupakan penjabaran rencana induk Penyandang Disabilitas di tingkat Daerah."
"PEMBUKAAN (DASAR HUKUM)","25","Evaluasi adalah rangkaian kegiatan membandingkan antara target capaian rencana induk Penyandang Disabilitas dan Rencana Aksi Daeerah Penyandang Disabilitas Daerah dengan dokumen perencanaan dan penganggaran, serta pelaksanaan terhadap Penghormatan, Pelindungan, dan Pemenuhan hak Penyandang Disabilitas tingkat pusat dan tingkat daerah. Pasal 2"
