"label","numbering","text"
"DASAR_HUKUM","1","Undang-Undang Nomor 16 Tahun 1997 tentang Statistik"
"DASAR_HUKUM","1","(Lembaran Negara Republik Indonesia Tahun 1997"
"DASAR_HUKUM","1","Nomor 39, Tambahan Lembaran Negara Republik"
"DASAR_HUKUM","1","Indonesia Nomor 3683);"
"DASAR_HUKUM","2","Peraturan Pemerintah Nomor 51 Tahun 1999 tentang"
"DASAR_HUKUM","2","Penyelenggaraan Statistik (Lembaran Negara Republik"
"DASAR_HUKUM","2","Indonesia Nomor 96 Tahun 1999, Tambahan Lembaran"
"DASAR_HUKUM","2","Negara Republik Indonesia Nomor 3854);"
"DASAR_HUKUM","3","Peraturan Presiden Nomor 86 Tahun 2007 tentang"
"DASAR_HUKUM","3","Badan Pusat Statistik (Lembaran Negara Republik"
"DASAR_HUKUM","3","Indonesia Tahun 2007 Nomor 139) sebagaimana telah"
"DASAR_HUKUM","3","diubah dengan Peraturan Presiden Nomor 1 Tahun 2025"
"DASAR_HUKUM","3","tentang Perubahan atas Peraturan Presiden Nomor 86"
"DASAR_HUKUM","3","Tahun 2007 tentang Badan Pusat Statistik (Lembaran"
"DASAR_HUKUM","3","Negara Republik Indonesia Tahun 2025 Nomor 4);"
"DASAR_HUKUM","4","Peraturan Badan Pusat Statistik Nomor 5 Tahun 2023"
"DASAR_HUKUM","4","tentang Organisasi dan Tata Kerja Badan Pusat Statistik"
"DASAR_HUKUM","4","Provinsi dan Badan Pusat Statistik Kabupaten/Kota"
"DASAR_HUKUM","4","(Berita Negara Republik Indonesia Tahun 2023 Nomor"
"DASAR_HUKUM","4","429) sebagaimana telah diubah dengan Peraturan"
"DASAR_HUKUM","4","Badan Pusat Statistik Nomor 3 Tahun 2025 tentang"
"DASAR_HUKUM","4","Perubahan atas Peraturan Badan Pusat Statistik Nomor"
"DASAR_HUKUM","4","5 Tahun 2023 tentang Organisasi dan Tata Kerja Badan"
"DASAR_HUKUM","4","Pusat Statistik Provinsi dan Badan Pusat Statistik"
"DASAR_HUKUM","4","Kabupaten/Kota (Berita Negara Republik Indonesia"
"DASAR_HUKUM","4","Tahun 2025 Nomor 683);"
"DASAR_HUKUM","5","Peraturan Badan Pusat Statistik Nomor 2 Tahun 2025"
"DASAR_HUKUM","5","tentang Organisasi dan Tata Kerja Badan Pusat Statistik"
"DASAR_HUKUM","5","(Berita Negara Republik Indonesia Tahun 2025 Nomor"
"DASAR_HUKUM","5","676);"
