page,text,label,numbering
1,"bahwa untuk memberikan keseragaman konsep,",KONSIDERAN,a
1,"definisi, dan klasifikasi lapangan usaha yang sesuai",KONSIDERAN,a
1,dengan perkembangan dan pergeseran kegiatan,KONSIDERAN,a
1,"ekonomi di Indonesia, perlu mengatur kembali",KONSIDERAN,a
1,klasifikasi baku lapangan usaha Indonesia;,KONSIDERAN,a
1,bahwa klasifikasi baku lapangan usaha Indonesia,KONSIDERAN,b
1,sebagai standar resmi klasifikasi kegiatan ekonomi di,KONSIDERAN,b
1,Indonesia digunakan oleh instansi pemerintah perlu,KONSIDERAN,b
1,menyesuaikan dengan International Standard Industrial,KONSIDERAN,b
1,"Classification of All Economics Activities, Revision 5;",KONSIDERAN,b
1,bahwa Peraturan Badan Pusat Statistik Nomor 2 Tahun,KONSIDERAN,c
1,2020 tentang Klasifikasi Baku Lapangan Usaha,KONSIDERAN,c
1,Indonesia sudah tidak sesuai dengan perkembangan,KONSIDERAN,c
1,kegiatan ekonomi di Indonesia;,KONSIDERAN,c
1,bahwa berdasarkan pertimbangan sebagaimana,KONSIDERAN,d
1,"dimaksud dalam huruf a, huruf b, dan huruf c, perlu",KONSIDERAN,d
1,menetapkan Peraturan Badan Pusat Statistik tentang,KONSIDERAN,d
1,Klasifikasi Baku Lapangan Usaha Indonesia;,KONSIDERAN,d
