"label","numbering","text"
"KONSIDERAN","a","bahwa untuk memberikan keseragaman konsep,"
"KONSIDERAN","a","definisi, dan klasifikasi lapangan usaha yang sesuai"
"KONSIDERAN","a","dengan perkembangan dan pergeseran kegiatan"
"KONSIDERAN","a","ekonomi di Indonesia, perlu mengatur kembali"
"KONSIDERAN","a","klasifikasi baku lapangan usaha Indonesia;"
"KONSIDERAN","b","bahwa klasifikasi baku lapangan usaha Indonesia"
"KONSIDERAN","b","sebagai standar resmi klasifikasi kegiatan ekonomi di"
"KONSIDERAN","b","Indonesia digunakan oleh instansi pemerintah perlu"
"KONSIDERAN","b","menyesuaikan dengan International Standard Industrial"
"KONSIDERAN","b","Classification of All Economics Activities, Revision 5;"
"KONSIDERAN","c","bahwa Peraturan Badan Pusat Statistik Nomor 2 Tahun"
"KONSIDERAN","c","2020 tentang Klasifikasi Baku Lapangan Usaha"
"KONSIDERAN","c","Indonesia sudah tidak sesuai dengan perkembangan"
"KONSIDERAN","c","kegiatan ekonomi di Indonesia;"
"KONSIDERAN","d","bahwa berdasarkan pertimbangan sebagaimana"
"KONSIDERAN","d","dimaksud dalam huruf a, huruf b, dan huruf c, perlu"
"KONSIDERAN","d","menetapkan Peraturan Badan Pusat Statistik tentang"
"KONSIDERAN","d","Klasifikasi Baku Lapangan Usaha Indonesia;"
