"label","numbering","text"
"PASAL","1",""
"PASAL","1","Dalam Peraturan Badan ini yang dimaksud dengan:"
"PASAL","1",". Badan Pusat Statistik yang selanjutnya disebut Badan"
"PASAL","1","adalah lembaga pemerintah yang berada di bawah dan"
"PASAL","1","bertanggung jawab kepada Presiden dan mempunyai"
"PASAL","1","tugas melaksanakan tugas pemerintahan di bidang"
"PASAL","1","kegiatan statistik."
"PASAL","2",". Klasifikasi Baku Lapangan Usaha Indonesia yang"
"PASAL","2","selanjutnya disingkat KBLI adalah pengelompokan"
"PASAL","2","aktivitas ekonomi di Indonesia yang menghasilkan"
"PASAL","2","produk/output, baik berupa barang maupun jasa ke"
"PASAL","2","dalam jenis lapangan usaha."
"PASAL","2",""
"PASAL","2","(1) Dengan Peraturan Badan ini ditetapkan KBLI."
"PASAL","2","(2) KBLI sebagaimana dimaksud pada ayat (1) merupakan"
"PASAL","2","acuan standar dan alat koordinasi, integrasi, serta"
"PASAL","2","sinkronisasi penyelenggaraan statistik."
"PASAL","3",""
"PASAL","3","(1) KBLI sebagaimana dimaksud dalam Pasal 2 memuat"
"PASAL","3","kategori:"
"PASAL","3","a. A Pertanian, Kehutanan, dan Perikanan;"
"PASAL","3","b. B Pertambangan dan Penggalian;"
"PASAL","3","c. C Industri;"
"PASAL","3","d. D Penyediaan Listrik, Gas, Uap/Air Panas, dan"
"PASAL","3","Udara Dingin;"
"PASAL","3","e. E Penyediaan Air, Pengelolaan Air Limbah,"
"PASAL","3","Penanganan Limbah, dan Remediasi;"
"PASAL","3","f. F Konstruksi;"
"PASAL","3","g. G Perdagangan Besar dan Eceran;"
"PASAL","3","h. H Transportasi dan Penyimpanan;"
"PASAL","3","i. I Aktivitas Penyediaan Akomodasi dan Makan"
"PASAL","3","Minum"
"PASAL","3","j. J Aktivitas Penerbitan, Penyiaran, serta Produksi"
"PASAL","3","dan Distribusi Konten;"
"PASAL","3","k. K Aktivitas Telekomunikasi, Pemrograman"
"PASAL","3","Komputer, Konsultansi, Infrastruktur Komputasi,"
"PASAL","3","dan Jasa Informasi Lainnya;"
"PASAL","3","l. L Aktivitas Keuangan dan Asuransi;"
"PASAL","3","m. M Aktivitas Real Estat;"
"PASAL","3","n. N Aktivitas Profesional, Ilmiah, dan Teknis;"
"PASAL","3","o. O Aktivitas Administratif dan Penunjang Usaha;"
"PASAL","3","p. P Administrasi Pemerintahan dan Pertahanan,"
"PASAL","3","serta Jaminan Sosial Wajib;"
"PASAL","3","q. Q Pendidikan;"
"PASAL","3","r. R Aktivitas Kesehatan Manusia dan Aktivitas"
"PASAL","3","Sosial;"
"PASAL","3","s. S Kesenian, Olahraga, dan Rekreasi;"
"PASAL","3","t. T Aktivitas Jasa Lainnya;"
"PASAL","3","u. U Aktivitas Rumah Tangga sebagai Pemberi Kerja"
"PASAL","3","dan Aktivitas Produksi Barang dan Jasa oleh"
"PASAL","3","Rumah Tangga untuk Keperluan Sendiri yang"
"PASAL","3","Tidak Terdiferensiasi; dan"
"PASAL","3","v. V Aktivitas Badan Internasional dan Badan Ekstra"
"PASAL","3","Internasional Lainnya."
"PASAL","3","(2) KBLI sebagaimana dimaksud pada ayat (1) tercantum"
"PASAL","3","dalam Lampiran yang merupakan bagian tidak"
"PASAL","3","terpisahkan dari Peraturan Badan ini."
"PASAL","4",""
"PASAL","4","Penggunaan KBLI dalam kegiatan lain di luar kegiatan"
"PASAL","4","statistik dilaksanakan sesuai dengan ketentuan peraturan"
"PASAL","4","perundang-undangan"
"PASAL","5",""
"PASAL","5","Pada saat Peraturan Badan ini mulai berlaku, seluruh"
"PASAL","5","penggunaan KBLI yang sudah ada pada masing-masing"
"PASAL","5","pengguna KBLI wajib menyesuaikan dengan ketentuan"
"PASAL","5","Peraturan Badan ini paling lambat 6 (enam) bulan sejak"
"PASAL","5","Peraturan Badan ini diundangkan."
"PASAL","6",""
"PASAL","6","Pada saat Peraturan Badan ini mulai berlaku, Peraturan"
"PASAL","6","Badan Pusat Statistik Nomor 2 Tahun 2020 tentang"
"PASAL","6","Klasifikasi Baku Lapangan Usaha Indonesia (Berita Negara"
"PASAL","6","Republik Indonesia Tahun 2020 Nomor 1084), dicabut dan"
"PASAL","6","dinyatakan tidak berlaku."
"PASAL","7",""
"PASAL","7","Peraturan Badan ini mulai berlaku pada tanggal"
"PASAL","7","diundangkan."
"PASAL","7","Agar setiap orang mengetahuinya, memerintahkan"
"PASAL","7","pengundangan Peraturan Badan ini dengan penempatannya"
"PASAL","7","dalam Berita Negara Republik Indonesia."
